# 2f42db7d-bd1c-4dbd-b1fc-7be1acd18fe4
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.0151886; -2.7803847; -1.6106277; 0.0029733; 54.4875257; 1.1335900
1.9996747; 2.0137118; -2.8540678; -1.6046632; 0.0029910; 54.5291122; 1.1466342
3.9993493; 4.0123443; -2.9157949; -1.5986882; 0.0029638; 54.5711450; 1.1598863
5.9990240; 6.0112732; -2.9656826; -1.5928317; 0.0028941; 54.6136307; 1.1957273
7.9986987; 8.0106939; -3.0040338; -1.5871563; 0.0027815; 54.6573947; 1.2188632
9.9983733; 10.0101537; -3.0312654; -1.5817190; 0.0026451; 54.7019694; 1.2426272
11.9980480; 12.0096677; -3.0479247; -1.5765900; 0.0024848; 54.7473758; 1.2938555
13.9977227; 14.0093992; -3.0546832; -1.5718330; 0.0022722; 54.7946141; 1.3200744
15.9973974; 16.0090551; -3.0523593; -1.5675141; 0.0020356; 54.8427677; 1.3470628
17.9970720; 18.0086463; -3.0419006; -1.5637048; 0.0017744; 54.8918623; 1.3897128
19.9967467; 20.0082874; -3.0243611; -1.5604407; 0.0014897; 54.9424653; 1.4049195
21.9964214; 22.0078162; -3.0008646; -1.5577439; 0.0012108; 54.9935747; 1.4204001
23.9960960; 24.0072522; -2.9725261; -1.5555949; 0.0009385; 55.0451990; 1.4335637
25.9957707; 26.0067028; -2.9404059; -1.5539475; 0.0007098; 55.0972527; 1.4351222
27.9954454; 28.0060680; -2.9054439; -1.5527422; 0.0005105; 55.1493138; 1.4364941
29.9951200; 30.0053695; -2.8684362; -1.5518902; 0.0003417; 55.2013754; 1.4308430
31.9947947; 32.0047035; -2.8300242; -1.5513191; 0.0002305; 55.2531835; 1.4270255
33.9944694; 34.0039872; -2.7906879; -1.5509573; 0.0001434; 55.3048051; 1.4229544
35.9941440; 36.0032389; -2.7507743; -1.5507328; 0.0000812; 55.3562314; 1.4128838
37.9938187; 38.0025295; -2.7105135; -1.5505995; 0.0000528; 55.4072466; 1.4082736
39.9934934; 40.0017903; -2.6700407; -1.5505167; 0.0000354; 55.4580486; 1.4034332
41.9931680; 42.0010350; -2.6294247; -1.5504522; 0.0000292; 55.5086297; 1.3931064
43.9928427; 44.0003081; -2.5886843; -1.5503892; 0.0000340; 55.5587931; 1.3884960
45.9925174; 45.9995609; -2.5478080; -1.5503152; 0.0000410; 55.6087455; 1.3836651
47.9921921; 47.9988045; -2.5067675; -1.5502241; 0.0000501; 55.6584794; 1.3734528
49.9918667; 49.9980596; -2.4655268; -1.5501154; 0.0000587; 55.7078024; 1.3688921
51.9915414; 51.9973004; -2.4240519; -1.5499901; 0.0000660; 55.7569182; 1.3641184
53.9912161; 53.9965370; -2.3823135; -1.5498523; 0.0000719; 55.8058197; 1.3540743
55.9908907; 55.9957682; -2.3402899; -1.5497059; 0.0000745; 55.8543188; 1.3495917
57.9905654; 57.9949917; -2.2979688; -1.5495552; 0.0000755; 55.9026155; 1.3449046
59.9902401; 59.9942168; -2.2553461; -1.5494049; 0.0000748; 55.9507029; 1.3350563
61.9899147; 61.9934214; -2.2124262; -1.5492583; 0.0000718; 55.9983974; 1.3306521
63.9895894; 63.9926279; -2.1692191; -1.5491182; 0.0000678; 56.0458942; 1.3260495
65.9892641; 65.9918403; -2.1257408; -1.5489875; 0.0000629; 56.0931867; 1.3163878
67.9889387; 67.9910276; -2.0820120; -1.5488676; 0.0000570; 56.1400952; 1.3120642
69.9886134; 69.9902213; -2.0380554; -1.5487598; 0.0000507; 56.1868107; 1.3075461
71.9882881; 71.9894155; -1.9938959; -1.5486649; 0.0000442; 56.2333266; 1.2980725
73.9879628; 73.9885934; -1.9495600; -1.5485832; 0.0000375; 56.2794676; 1.2938233
75.9876374; 75.9877752; -1.9050740; -1.5485149; 0.0000308; 56.3254199; 1.2893817
77.9873121; 77.9869556; -1.8604649; -1.5484600; 0.0000240; 56.3711771; 1.2800839
79.9869868; 79.9861293; -1.8157597; -1.5484186; 0.0000173; 56.4165677; 1.2759049
81.9866614; 81.9853045; -1.7709851; -1.5483906; 0.0000107; 56.4617738; 1.2715352
83.9863361; 83.9844764; -1.7261678; -1.5483759; 0.0000040; 56.5067891; 1.2624079
85.9860108; 85.9836512; -1.6813344; -1.5483745; -0.0000026; 56.5514458; 1.2582971
87.9856854; 87.9828252; -1.6365112; -1.5483862; -0.0000091; 56.5959221; 1.2539974
89.9853601; 89.9819940; -1.5917247; -1.5484110; -0.0000157; 56.6402116; 1.2450358
91.9850348; 91.9811753; -1.5470008; -1.5484490; -0.0000223; 56.6841504; 1.2409910
93.9847094; 93.9803533; -1.5023661; -1.5485002; -0.0000289; 56.7279125; 1.2367604
95.9843841; 95.9795242; -1.4578470; -1.5485644; -0.0000354; 56.7714919; 1.2279585
97.9840588; 97.9787172; -1.4134691; -1.5486419; -0.0000420; 56.8147281; 1.2239774
99.9837335; 99.9779045; -1.3692594; -1.5487326; -0.0000487; 56.8577914; 1.2198149
101.9834081; 101.9770827; -1.3252448; -1.5488367; -0.0000554; 56.9006758; 1.2111651
103.9830828; 103.9762926; -1.2814511; -1.5489543; -0.0000622; 56.9432242; 1.2072441
105.9827575; 105.9754944; -1.2379065; -1.5490857; -0.0000693; 56.9856032; 1.2031485
107.9824321; 107.9746850; -1.1946393; -1.5492314; -0.0000764; 57.0278071; 1.1946377
109.9821068; 109.9739170; -1.1516772; -1.5493919; -0.0000841; 57.0696816; 1.1907690
111.9817815; 111.9731384; -1.1090520; -1.5495681; -0.0000923; 57.1113899; 1.1867351
113.9814561; 113.9723467; -1.0667963; -1.5497613; -0.0001009; 57.1529267; 1.1783355
115.9811308; 115.9716064; -1.0249441; -1.5499730; -0.0001109; 57.1941396; 1.1745001
117.9808055; 117.9708531; -0.9835356; -1.5502051; -0.0001218; 57.2351888; 1.1705113
119.9804801; 119.9700853; -0.9426149; -1.5504608; -0.0001339; 57.2760694; 1.1621599
121.9801548; 121.9693794; -0.9022297; -1.5507427; -0.0001481; 57.3166294; 1.1583171
123.9798295; 123.9686597; -0.8624376; -1.5510547; -0.0001657; 57.3570268; 1.1543356
125.9795041; 125.9679227; -0.8233090; -1.5514070; -0.0001867; 57.3972570; 1.1459204
127.9791788; 127.9672474; -0.7849280; -1.5518045; -0.0002109; 57.4371661; 1.1419761
129.9788535; 129.9665536; -0.7473906; -1.5522496; -0.0002333; 57.4769102; 1.1379090
131.9785282; 131.9658896; -0.7107853; -1.5527366; -0.0002538; 57.5164855; 1.1291828
133.9782028; 133.9652448; -0.6752006; -1.5532735; -0.0002834; 57.5557304; 1.1250618
135.9778775; 135.9646214; -0.6407489; -1.5538702; -0.0003138; 57.5948055; 1.1208348
137.9775522; 137.9640243; -0.6075519; -1.5545290; -0.0003450; 57.6337074; 1.1118187
139.9772268; 139.9634374; -0.5757340; -1.5552492; -0.0003753; 57.6722704; 1.1076645
141.9769015; 141.9628795; -0.5454161; -1.5560285; -0.0004026; 57.7106638; 1.1034259
143.9765762; 143.9623590; -0.5167073; -1.5568579; -0.0004269; 57.7488848; 1.0948949
145.9762508; 145.9618359; -0.4896974; -1.5577232; -0.0004385; 57.7867854; 1.0913963
147.9759255; 147.9613480; -0.4644388; -1.5586062; -0.0004392; 57.8245401; 1.0878462
149.9756002; 149.9609026; -0.4409343; -1.5594743; -0.0004290; 57.8621476; 1.0815360
151.9752748; 151.9604360; -0.4191242; -1.5602898; -0.0003864; 57.8995126; 1.0793258
153.9749495; 153.9600056; -0.3988555; -1.5610090; -0.0003218; 57.9367773; 1.0770904
155.9746242; 155.9596147; -0.3798694; -1.5615655; -0.0002348; 57.9739409; 1.0719828
157.9742989; 157.9591805; -0.3617862; -1.5618932; -0.0000928; 58.0109046; 1.0681024
159.9739735; 159.9587760; -0.3440688; -1.5619214; 0.0000798; 58.0477112; 1.0641623
161.9736482; 161.9583971; -0.3260268; -1.5615584; 0.0002832; 58.0843587; 1.0469793
163.9733229; 163.9579509; -0.3068161; -1.5607335; 0.0005420; 58.1203920; 1.0313438
165.9729975; 165.9575104; -0.2854352; -1.5593826; 0.0008174; 58.1558653; 1.0155052
167.9726722; 167.9570620; -0.2607829; -1.5574560; 0.0011095; 58.1907727; 0.9658562
169.9723469; 169.9564910; -0.2316966; -1.5549474; 0.0013996; 58.2239540; 0.9337266
171.9720215; 171.9558573; -0.1970170; -1.5518671; 0.0016726; 58.2560136; 0.9012435
173.9716962; 173.9551433; -0.1556522; -1.5482666; 0.0019284; 58.2869412; 0.8285253
175.9713709; 175.9541605; -0.1066141; -1.5442053; 0.0021335; 58.3153588; 0.7921601
177.9710455; 177.9529899; -0.0490512; -1.5397468; 0.0023130; 58.3425162; 0.7553925
179.9707202; 179.9516155; 0.0177545; -1.5349679; 0.0024665; 58.3684014; 0.6877986
181.9703949; 181.9497289; 0.0943834; -1.5299239; 0.0025784; 58.3919603; 0.6576195
183.9700696; 183.9474877; 0.1813134; -1.5246641; 0.0026746; 58.4144766; 0.6270033
